Attendance,Internal_Marks,Assignment_Marks,Study_Hours,Previous_Results
74,17,18,4.1,Second Class
80,21,22,6.3,Distinction
80,18,13,2.1,First Class
59,21,16,4.4,Second Class
47,17,11,4.7,Pass
65,23,15,6.9,First Class
78,15,20,4.2,Second Class
80,21,18,4.2,First Class
89,24,12,2.8,Second Class
71,24,13,7.4,First Class
45,20,7,3.5,Pass
66,20,15,3.8,First Class
93,16,22,1.8,Second Class
98,11,19,2.5,Second Class
72,30,14,4.9,First Class
71,18,17,5.2,First Class
61,20,18,4.7,Second Class
75,19,14,5.9,Second Class
92,23,12,5.6,First Class
86,28,16,3.6,First Class
60,18,18,5,Second Class
64,24,15,2.9,Second Class
71,17,20,6.7,First Class
77,25,17,6.8,Distinction
76,24,20,4.3,Second Class
89,14,24,6.7,First Class
76,30,13,2.7,Second Class
71,17,18,5.3,Second Class
99,15,12,5.8,Second Class
81,19,13,3.7,Second Class
83,20,20,6.2,Distinction
89,26,20,4,First Class
48,23,14,5.8,Second Class
55,17,16,4,Second Class
58,22,10,0.7,Pass
55,19,11,2.2,Pass
69,27,19,4.5,First Class
92,24,15,7,Distinction
85,30,21,6.7,First Class
58,22,10,3.8,Second Class
65,25,12,4,First Class
78,23,24,7.6,First Class
95,19,17,5,First Class
58,24,19,6.6,First Class
90,18,22,5.7,Second Class
81,23,16,3.5,Second Class
53,30,12,3.7,First Class
84,26,23,4.4,First Class
88,26,16,2.5,First Class
84,15,20,2.1,Second Class
58,19,14,3.8,Second Class
79,25,21,4.3,First Class
83,30,21,7.8,Distinction
91,13,21,5.4,First Class
67,20,19,6.7,Second Class
78,19,13,5.8,Second Class
65,18,18,5,Second Class
62,21,19,2.9,Second Class
63,30,13,3.4,First Class
61,26,24,4.2,First Class
67,22,23,6.8,First Class
98,28,19,3.7,First Class
63,24,16,0.5,Second Class
78,27,16,5.4,Distinction
81,23,25,4.7,First Class
100,18,13,2.1,Second Class
84,26,12,7,Distinction
74,22,20,5.7,First Class
59,21,12,6.3,First Class
74,23,11,6.7,Second Class
77,28,14,7.4,Distinction
75,25,12,6.2,First Class
91,21,16,5.7,First Class
57,21,22,4.8,Second Class
86,13,9,5,Second Class
78,18,16,2.2,Second Class
51,21,18,1.5,Pass
87,30,11,5.7,First Class
55,30,20,3.4,First Class
85,23,25,6.2,Second Class
71,18,16,5,Second Class
59,29,19,3.7,First Class
85,28,13,6.6,First Class
92,21,8,5.1,Second Class
72,22,15,2,Pass
62,21,22,6.4,First Class
94,15,20,4.6,First Class
85,19,20,5,Distinction
70,28,20,2.7,First Class
59,11,20,7.1,Second Class
71,30,20,3.7,Distinction
56,19,13,0.6,Fail
93,17,15,2.7,First Class
75,24,17,2.7,Second Class
88,22,20,0.5,First Class
68,30,15,5.1,First Class
62,26,14,7.6,Distinction
82,18,16,5.6,Pass
67,27,12,7.6,First Class
80,16,19,5.9,First Class
95,28,18,2.5,Distinction
55,20,20,5.9,First Class
75,14,16,5.3,Second Class
96,21,11,5.9,Second Class
100,23,11,7.2,Distinction
45,27,19,5.4,First Class
82,19,23,2.3,First Class
98,16,17,7.8,First Class
73,20,22,3.8,Second Class
83,21,14,2.3,Pass
57,13,14,5.6,Second Class
63,17,13,2.2,Pass
86,15,17,3.8,First Class
48,23,16,3.5,Second Class
77,17,19,5.8,First Class
66,29,16,1,Second Class
74,18,21,4.1,First Class
74,26,20,5.9,First Class
89,22,25,6,Distinction
64,20,17,2.7,Pass
73,22,18,7.2,First Class
85,21,16,5.5,Second Class
76,19,13,1.2,Pass
47,26,16,1.6,Pass
86,19,16,4.3,Second Class
50,22,15,10.9,First Class
68,27,16,5.5,First Class
98,19,19,7.3,First Class
75,25,20,2.8,First Class
61,18,14,7.4,First Class
100,22,14,3.1,First Class
52,20,15,8.5,Second Class
92,29,16,5.9,First Class
74,21,7,5.8,Second Class
50,15,14,3.9,Pass
61,17,18,4,Second Class
72,24,16,6.7,First Class
88,28,11,6.8,Distinction
60,22,16,5.9,First Class
65,29,14,4.7,First Class
100,19,20,5.4,Second Class
61,16,15,4.2,Second Class
94,24,25,4.5,Distinction
81,30,15,6.7,Distinction
64,22,19,4.1,Second Class
100,21,24,4,First Class
87,21,13,3.6,Second Class
65,22,8,3.9,Second Class
67,17,13,5.1,First Class
54,21,21,5.7,Second Class
68,22,17,0.6,Pass
46,28,20,3.4,First Class
100,19,22,5.7,First Class
58,19,15,0.5,Pass
70,24,15,11,First Class
61,26,25,3,Distinction
61,28,17,9.5,Distinction
65,30,13,4.4,Distinction
64,19,18,5.9,First Class
64,23,20,8,First Class
56,22,15,7.6,Second Class
83,17,22,6.5,First Class
83,20,20,4.9,First Class
76,10,15,8,First Class
77,21,16,6.3,First Class
60,25,22,3.1,Second Class
82,26,15,3.9,First Class
81,24,17,2.3,Second Class
85,16,18,4.3,Second Class
75,30,18,4.4,Second Class
83,28,19,7.3,Distinction
55,22,19,6.4,Second Class
74,24,22,7,Distinction
81,17,13,4.8,First Class
81,25,11,2.1,First Class
74,15,21,5.5,Distinction
94,24,16,5.5,First Class
53,27,18,0.5,Pass
63,27,17,8,First Class
59,27,14,2.9,Second Class
64,25,21,1.8,Second Class
75,22,20,5.2,First Class
58,13,16,5,Second Class
69,30,17,4,First Class
60,23,9,6.4,Second Class
78,23,12,3.2,First Class
82,19,19,5.8,Distinction
92,24,15,8.6,Distinction
62,16,14,4.3,Second Class
89,28,18,6.7,Distinction
89,30,11,3.5,First Class
35,22,23,3.9,Second Class
62,20,18,2.6,Second Class
46,24,15,8,First Class
44,10,13,4,Pass
75,25,12,1.4,Second Class
70,21,14,4.7,First Class
51,16,20,8.1,Second Class
56,12,18,2.5,Second Class
100,23,19,4.8,Distinction
75,22,22,6.3,Distinction
50,19,13,6.7,Second Class
84,16,17,9.6,Distinction
47,24,20,4,Second Class
85,23,19,4.7,Distinction
61,20,19,6.5,Second Class
94,15,17,4.4,Second Class
92,10,14,3.2,Second Class
98,26,23,0.6,First Class
54,20,18,5.2,First Class
45,18,11,1.7,Pass
78,30,22,5.1,First Class
90,19,12,2.7,Second Class
94,22,22,5.2,First Class
100,30,18,3.3,First Class
81,21,19,5.6,First Class
92,24,14,3.5,First Class
59,26,20,4.9,Second Class
48,16,10,5.1,Pass
61,26,18,5.1,First Class
91,14,20,1.4,Pass
90,25,20,5.4,Distinction
52,20,17,9.1,First Class
91,18,25,5.9,First Class
100,15,14,4.5,Second Class
83,23,17,8.8,First Class
95,18,23,8.8,Distinction
72,16,18,4.9,Pass
86,17,23,6.9,First Class
76,21,15,11.2,First Class
76,27,15,3.7,Second Class
93,26,19,2,First Class
79,20,11,4.9,Second Class
76,22,16,6.8,First Class
83,24,21,3.1,First Class
89,23,22,6.5,First Class
88,21,21,8.7,Distinction
100,14,15,4.5,Second Class
81,20,21,7,First Class
60,25,20,5.7,First Class
96,19,16,6.3,First Class
88,21,12,2.5,Second Class
87,26,10,6.1,First Class
59,30,18,6.7,Distinction
66,20,23,2.4,Second Class
76,27,19,3.2,First Class
88,17,14,3.9,Second Class
91,20,16,2.9,Second Class
97,26,11,3,First Class
68,19,14,2.3,Second Class
69,28,17,3.1,First Class
95,18,10,4,Pass
100,15,16,7.9,Distinction
67,18,16,4.5,First Class
73,15,21,7.1,First Class
87,22,12,4.8,Second Class
65,17,18,5.4,Pass
61,22,19,5.1,Pass
94,30,23,6.1,Distinction
65,23,12,5.2,Second Class
84,20,20,5.4,First Class
88,16,16,3.9,First Class
74,23,19,0.5,Pass
77,27,19,7.6,Distinction
77,20,15,3.3,Second Class
72,19,17,1.4,Second Class
78,24,15,4,First Class
73,30,11,4.5,Second Class
63,18,15,6.6,Second Class
84,15,15,7.6,First Class
79,25,19,6.3,Distinction
59,22,20,6.5,First Class
95,19,12,7.5,First Class
67,22,15,7,First Class
80,25,17,7.1,Second Class
57,22,15,3.1,Second Class
60,23,17,5.1,Second Class
72,28,19,6.9,Distinction
49,20,16,7.6,First Class
81,18,18,4.5,Second Class
56,24,17,6.6,Second Class
58,30,13,5.6,First Class
60,30,17,5.3,Distinction
63,20,16,2.3,Second Class
82,23,20,6.7,Distinction
71,28,14,7.8,First Class
86,30,8,4.6,First Class
100,20,25,1.9,First Class
69,25,15,4.1,Second Class
77,15,12,5.2,Second Class
90,15,19,5.6,Second Class
63,22,21,4.3,First Class
71,30,17,4.6,Second Class
54,24,16,5.6,Second Class
73,19,18,4.6,First Class
65,28,13,4.1,Second Class
94,24,18,5.5,First Class
96,29,17,5,Distinction
72,21,15,4.3,Second Class
86,20,15,3.7,Second Class
98,25,20,3.9,Distinction
77,29,17,4.9,First Class
76,23,23,8.1,Distinction
93,8,15,5.5,Second Class
81,22,15,3.4,First Class
92,29,17,3.9,Distinction
75,21,17,3.7,Second Class
71,15,19,6.7,Second Class
48,24,18,5,Second Class
46,30,16,6,First Class
81,16,15,2.3,Pass
64,13,15,3.6,Pass
73,22,14,9,Distinction
92,20,21,6.5,First Class
65,30,15,6,First Class
87,17,13,7.3,First Class
38,22,16,6.4,Second Class
80,22,18,2.7,Second Class
62,15,20,7.2,First Class
66,19,15,7.2,First Class
100,17,16,2.5,Pass
73,20,15,1.9,Second Class
71,27,19,2.4,First Class
66,30,17,4,First Class
52,28,25,1.5,Second Class
73,19,22,7.5,First Class
100,22,16,5.6,First Class
97,25,16,4.6,First Class
79,16,17,4,Second Class
91,26,17,3.6,First Class
75,24,15,3.1,Second Class
95,30,20,3,Distinction
62,18,19,2.2,Second Class
74,24,14,6.7,First Class
70,27,6,5.7,Second Class
63,23,19,3.5,Second Class
74,24,22,4.1,Distinction
55,24,10,5.1,Second Class
100,22,14,7.1,First Class
76,27,21,1.5,First Class
75,17,11,4.9,Second Class
64,21,16,5,First Class
75,30,22,6.9,Distinction
71,17,19,4.9,First Class
80,23,16,3.1,Second Class
86,21,17,6.7,First Class
53,22,14,4.9,Second Class
83,30,15,4.4,Distinction
89,17,20,6.3,First Class
71,26,19,5.8,First Class
49,22,16,5.9,Second Class
85,24,14,6.9,First Class
65,23,17,3.2,First Class
75,18,10,5.9,Second Class
77,29,7,7.5,Distinction
60,27,14,2.9,Second Class
100,24,17,6.8,First Class
97,30,19,3.4,Distinction
79,25,22,5.9,First Class
97,23,18,6.2,Distinction
86,23,16,3.9,Second Class
71,27,16,4.8,First Class
83,25,25,2.2,First Class
84,14,24,4.8,Second Class
90,11,18,3,Second Class
81,26,19,9.2,Distinction
70,28,17,5.8,Pass
82,22,15,3.7,First Class
44,30,22,5.7,Distinction
79,18,21,1.7,Second Class
93,25,11,5.4,First Class
64,10,12,4,Second Class
100,26,14,4.2,Distinction
84,24,18,7.4,Distinction
75,23,19,4.1,Second Class
82,18,22,5.4,Distinction
62,28,10,6.9,First Class
89,20,20,6,First Class
82,30,15,7.8,Distinction
93,30,14,0.7,First Class
65,19,16,3.9,First Class
92,28,25,3.5,Second Class
100,23,17,1.4,Second Class
85,21,8,3.1,Second Class
94,23,25,7.1,Distinction
95,26,12,1.8,Second Class
79,22,18,5,First Class
90,22,16,0.5,Second Class
63,17,20,6.8,First Class
89,17,16,3.9,First Class
88,21,20,5.7,First Class
82,26,16,2.5,First Class
71,16,14,4.5,Second Class
83,21,19,4.3,First Class
81,25,23,4.4,Second Class
74,26,17,5.6,Second Class
62,25,20,3.5,First Class
64,16,17,5.4,Second Class
86,30,21,4.3,Distinction
53,23,21,6.4,First Class
100,18,20,4.8,Distinction
77,26,23,6.3,First Class
69,19,21,7.6,First Class
48,19,19,3.1,Pass
68,12,18,4.2,Second Class
94,17,8,4.9,Second Class
54,20,16,5.1,Second Class
100,21,18,4,Second Class
96,6,22,2.4,Pass
73,30,18,4.6,First Class
85,20,20,1.1,Second Class
80,15,13,4.7,Second Class
79,15,13,9.2,Second Class
69,21,16,7.4,First Class
88,18,20,4.6,First Class
74,25,12,3.1,First Class
83,20,20,4.9,Second Class
77,21,18,3.5,Second Class
92,21,15,5.7,First Class
91,21,18,3.6,Second Class
86,23,20,6.5,First Class
77,12,19,2.8,Second Class
86,19,17,7.4,Second Class
85,23,21,1.7,First Class
92,29,14,4.4,Distinction
54,22,18,5.3,Second Class
89,26,24,3.4,First Class
91,30,17,1.9,First Class
89,25,21,8.8,Distinction
61,16,17,7,First Class
78,22,16,7.5,First Class
73,22,17,8.6,First Class
100,19,14,3.7,First Class
75,28,14,1.7,Second Class
79,15,17,6.1,Second Class
63,17,16,5.9,Distinction
92,16,11,4.8,First Class
85,19,21,7.8,Distinction
59,24,12,3.4,Pass
71,15,20,5,Second Class
82,30,18,3.8,First Class
73,18,10,4.2,Second Class
63,12,17,7.2,Pass
78,24,19,6.1,Distinction
51,25,23,4.6,First Class
60,29,15,8.3,First Class
85,19,25,1.1,Second Class
44,16,25,6.8,Pass
75,19,19,8.7,Distinction
82,25,13,6.4,Distinction
66,19,23,5.4,Second Class
69,20,17,4.9,Second Class
100,26,23,1.6,First Class
93,26,14,3.5,First Class
72,25,18,4.8,First Class
63,30,19,7.8,First Class
67,20,14,6.4,First Class
67,20,19,3.5,Second Class
98,18,15,10,First Class
57,30,15,6,Distinction
64,19,19,4.8,Second Class
73,15,19,6.7,Second Class
72,25,15,4.4,First Class
97,22,17,4.7,First Class
61,17,20,3.9,Second Class
68,15,15,7.8,Second Class
65,20,16,5.5,Second Class
74,20,18,5.6,First Class
84,22,22,5.9,Distinction
74,23,14,5,First Class
70,29,17,8.2,First Class
71,20,21,6.3,First Class
68,22,20,6.7,First Class
68,23,18,5.5,First Class
100,19,23,7.8,Distinction
100,25,16,4,First Class
88,15,11,8.1,First Class
81,27,20,4.6,Second Class
94,24,11,5.3,First Class
73,20,19,4.6,Second Class
85,24,11,5.8,First Class
73,23,14,1.5,Second Class
74,24,16,4.5,First Class
74,26,15,2.1,Second Class
55,9,13,4.1,Fail
52,21,22,6.7,First Class
89,20,13,6.4,Second Class
80,22,16,4.1,First Class
51,23,16,3.5,Second Class
80,22,18,7.8,First Class
81,13,19,1.3,Second Class
68,23,11,5,First Class
84,22,17,7.3,Distinction
66,19,14,4.9,Pass
43,21,18,5.4,First Class
56,19,11,5.5,Second Class
68,22,14,3,First Class
87,21,11,4.6,First Class
78,27,22,4.8,First Class
68,20,21,4.2,Second Class
82,22,15,1.1,First Class
85,16,18,2.8,Pass
44,26,21,4.4,Second Class
100,18,12,5.3,First Class
71,15,14,6.4,First Class
50,16,13,4.9,First Class
71,22,14,10.2,First Class
67,23,12,6.6,First Class
62,19,9,3.9,Fail
68,20,15,3.8,Second Class
94,29,16,7.3,Distinction
70,18,20,6.2,Second Class
77,19,13,4.9,Pass
68,30,19,2.7,First Class
76,20,15,5,Second Class
72,26,20,2.4,Second Class
99,30,18,8.2,Distinction
73,12,17,2.4,Pass
100,23,14,2.7,Second Class
46,30,20,4.7,First Class
74,22,23,5.8,Second Class
91,12,15,2.2,Second Class
56,15,13,6.6,Second Class
85,29,18,6.1,First Class
74,16,19,6.8,First Class
75,26,16,3.9,First Class
86,30,20,2.8,First Class
55,22,13,7.7,Second Class
85,23,18,2.9,First Class
69,21,17,6.4,Second Class
87,24,24,0.5,Second Class
94,9,23,5.2,Pass
86,17,13,7.9,First Class
61,30,21,4.3,First Class
72,30,13,2.5,First Class
71,23,19,4.2,Pass
72,28,25,4.8,First Class
95,25,18,1,Second Class
78,14,16,8.4,First Class
53,13,17,3.8,Pass
78,23,18,5.7,Second Class
65,20,17,7,Second Class
63,29,18,2.2,Second Class
56,16,12,3.4,Second Class
90,29,21,4.7,Distinction
77,17,12,6.8,Second Class
78,25,20,5.7,First Class
83,21,13,1,Second Class
52,13,24,2.6,Pass
76,22,13,3.6,First Class
71,22,8,3.9,Second Class
64,17,18,6.2,First Class
67,26,24,7.3,First Class
100,15,12,5.6,Second Class
80,29,21,3.2,First Class
90,27,21,6.6,Distinction
67,15,19,4.1,First Class
62,20,15,6.9,First Class
75,23,23,1.5,First Class
91,28,20,3.5,First Class
85,19,16,2,Pass
80,20,14,4.6,First Class
71,23,17,4.5,First Class
62,19,10,2.7,Pass
69,28,17,5.3,First Class
79,30,17,3.4,Second Class
79,17,20,3,Pass
82,16,19,7.1,First Class
78,29,15,8.2,Distinction
61,22,18,7.3,First Class
81,25,18,6.6,First Class
59,23,25,6.6,First Class
96,13,16,5.8,Second Class
66,21,15,3.4,Pass
52,17,17,7,Second Class
57,30,12,5.2,Second Class
64,24,19,7.5,Distinction
77,25,13,7.4,First Class
82,25,11,2.7,Second Class
77,25,17,4.6,Distinction
80,26,22,7.5,Distinction
86,23,21,9.6,Distinction
64,30,18,4.1,First Class
89,25,25,4.8,Distinction
100,15,13,5.5,Second Class
69,19,16,3.2,Pass
81,23,21,6,Distinction
86,17,15,5.5,First Class
85,21,16,5.5,Second Class
88,26,21,7,Distinction
47,23,11,3.1,Pass
93,24,18,8.6,Distinction
61,15,14,5.2,Pass
82,24,14,5.2,First Class
66,26,14,6.2,Distinction
80,16,17,5.2,Second Class
56,20,20,6.6,First Class
74,30,14,5.9,First Class
97,22,13,5.5,Second Class
62,27,17,6.7,First Class
94,21,9,3.2,Pass
53,25,18,6.2,Second Class
83,15,15,4.7,Second Class
77,22,19,5.6,First Class
68,25,18,5.5,First Class
43,30,13,3.4,Second Class
55,30,15,3.6,Second Class
82,29,18,3.5,Distinction
79,18,17,5.3,First Class
75,22,24,10.7,Distinction
61,17,20,1.8,Pass
81,23,15,8.7,Distinction
68,26,16,4,Second Class
93,19,17,7,First Class
79,19,25,6.6,Second Class
95,16,12,3.6,First Class
71,23,10,7.2,First Class
56,24,19,5.2,First Class
84,30,17,5.2,Distinction
92,20,25,5.2,First Class
82,18,10,9.1,Distinction
61,23,19,4,First Class
68,27,14,6,Distinction
82,20,18,6.4,First Class
69,30,23,3.7,First Class
56,16,16,4.8,Pass
77,7,18,8.2,Second Class
32,23,20,4.2,Second Class
94,30,19,2.5,First Class
60,22,16,3.9,First Class
72,15,19,6.4,Second Class
63,20,15,4,Second Class
72,15,18,3.4,Second Class
81,30,12,7.8,Distinction
84,26,21,5.1,Distinction
74,26,13,5.8,Distinction
100,27,23,6,Distinction
100,22,11,4.7,First Class
63,16,15,2.5,Second Class
100,25,11,5.4,First Class
79,18,21,6.4,First Class
83,22,24,1.2,First Class
94,20,15,5.4,Second Class
67,17,16,0.8,Pass
83,20,15,6.8,Distinction
64,28,10,3.3,Second Class
79,23,20,4.6,First Class
68,19,10,6.4,Second Class
90,27,16,5.2,First Class
72,15,23,3.9,Second Class
79,23,18,6.8,First Class
90,23,17,4.2,First Class
84,16,10,4.5,Second Class
71,29,22,7.8,Distinction
79,25,14,0.5,Second Class
63,21,7,6.8,Second Class
66,16,14,3.3,Pass
54,21,16,6.7,Second Class
68,18,18,4.9,First Class
100,22,19,3.5,First Class
75,30,12,4.7,First Class
64,24,17,5.2,Second Class
86,17,16,6.7,Distinction
64,25,17,7.1,First Class
100,30,13,4.3,First Class
74,13,10,7,Second Class
86,17,13,4.6,First Class
76,23,22,5.8,First Class
81,21,23,4.8,First Class
85,27,15,6.4,Distinction
30,13,19,3.1,Second Class
80,21,17,4.2,Second Class
77,27,11,5.5,First Class
76,18,18,2.9,Second Class
71,14,19,0.5,Pass
53,23,16,6.6,Second Class
72,28,15,4.9,Distinction
85,30,19,3.9,Distinction
89,21,19,4.8,First Class
75,21,24,5.9,Second Class
78,21,18,5.5,First Class
50,14,23,4.9,First Class
83,19,10,6,First Class
100,21,17,1.4,Second Class
79,20,14,7.8,Distinction
59,22,15,8,First Class
84,17,22,4.4,Distinction
91,19,19,5.5,First Class
86,22,17,3.7,Second Class
76,23,21,2.3,Second Class
99,19,13,3.1,First Class
56,22,14,3.8,Second Class
69,20,17,5.5,Second Class
82,20,15,5.1,Second Class
63,19,13,4.5,Pass
61,27,25,7,Distinction
92,24,16,5.2,First Class
42,18,14,6,Pass
48,22,18,6.5,First Class
100,18,22,6.8,First Class
73,18,17,4.1,Second Class
75,17,21,6.8,Second Class
88,17,10,5.6,First Class
64,25,25,11,Distinction
80,16,25,4.1,First Class
76,17,16,2.3,Pass
71,23,8,4.9,Distinction
61,24,15,0.5,Pass
65,26,17,4.6,First Class
77,21,20,2.2,Second Class
94,11,14,5.3,Second Class
70,24,13,7,First Class
100,26,19,7.8,Distinction
71,13,20,8.3,Second Class
57,28,14,4,First Class
70,21,23,6.2,Second Class
98,13,21,6,First Class
63,16,24,5.2,Second Class
84,28,18,6.4,Distinction
76,24,17,3,Second Class
82,18,17,4.5,First Class
79,24,16,4.7,First Class
79,13,17,5.7,Second Class
59,20,15,3.9,Pass
59,22,19,5.3,Second Class
81,21,15,3.1,Second Class
86,21,17,3,Distinction
41,12,15,5.4,Second Class
83,24,21,5.2,Second Class
79,23,25,3.6,Distinction
55,30,18,6.7,Distinction
85,22,14,4.7,Second Class
73,14,18,7,First Class
95,23,16,4.5,First Class
86,24,12,7.8,Distinction
90,22,16,8.9,First Class
50,30,18,4.1,Second Class
45,30,20,6,Distinction
61,24,21,0.6,Second Class
86,23,13,4.7,Second Class
80,19,20,4,Second Class
93,21,19,2.4,First Class
53,22,16,3.5,Second Class
94,30,16,4.3,Second Class
100,17,13,5.2,First Class
98,30,20,4,First Class
72,26,21,6.2,Second Class
67,29,15,4.8,Distinction
74,29,24,6.5,Distinction
41,18,20,6.2,First Class
58,23,9,3.2,Second Class
42,26,24,2.1,Second Class
100,25,19,5.2,First Class
73,28,17,6.4,First Class
62,20,13,2.3,Pass
72,17,20,3.1,Second Class
82,30,18,6.6,Distinction
54,26,24,4.8,Distinction
89,30,16,3.2,First Class
64,23,16,5.3,Second Class
60,19,22,4.9,Second Class
45,20,18,2.6,Pass
83,30,20,3,First Class
73,16,11,4.7,Second Class
